2026-03-13 13:47:49.816 | INFO     | request_id - build_meta_knowledge | __main__:build:20 - 开始执行构建元知识脚本
2026-03-15 15:44:13.578 | INFO     | request_id - ce4a8032-52d8-4f04-9a21-eed51fe2e99c | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 15:44:40.381 | INFO     | request_id - b607a71c-2d42-475f-a862-c3558e0777f3 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 15:47:13.047 | INFO     | request_id - e81d4290-946e-424a-bb7a-9852f957492c | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 15:47:25.158 | INFO     | request_id - 74ce7e79-c34d-4030-8c3d-88de81dba45d | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 15:48:53.823 | INFO     | request_id - 1aa7b5ab-1028-4b7e-910e-beebaff297da | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 15:53:33.342 | INFO     | request_id - 4c86341a-2610-4030-a79e-1c33f6f403ed | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 15:53:33.669 | INFO     | request_id - af359626-92a1-40ce-aa93-f2039f2ac9a7 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 15:54:44.128 | INFO     | request_id - 3526c604-d1d7-46e3-a0d4-9c2396b17d75 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 15:54:44.165 | INFO     | request_id - 2d9b1b89-f786-4b6b-92a1-586708a4e6c0 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 16:00:33.438 | INFO     | request_id - f63018cc-6c22-44b9-a206-6ae92d7632be | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 16:00:33.495 | INFO     | request_id - d8138a00-3942-4256-bd19-2318941af4f6 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 16:04:02.696 | INFO     | request_id - bfa02920-e8ca-4e31-84e8-37c460cb9d89 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 16:04:02.753 | INFO     | request_id - 14e5c1d1-5b16-4bb6-a579-6ceeb72143a2 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 16:07:00.840 | INFO     | request_id - 287260ad-c935-4c15-a19e-a56a09657de7 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 16:07:00.887 | INFO     | request_id - 5be1fe79-41d8-4184-ada8-da5679f3cece | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 16:07:16.004 | INFO     | request_id - caf40f0a-5b67-4526-9c01-cd61df17ec54 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 16:07:16.040 | INFO     | request_id - 52a4f434-27af-4432-9b71-1ddec59334a8 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 16:07:37.781 | INFO     | request_id - fae31729-572d-45eb-81d4-fe3a545b8069 | app.service.meta_knowledge_service:build:200 - 为字段信息创建向量索引
2026-03-15 16:16:22.877 | INFO     | request_id - 743327b2-9424-4955-b585-ccc081c9db47 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 16:16:22.922 | INFO     | request_id - 6ae8f5b7-917c-4ec1-bcba-cbbdb3eebc37 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 16:16:44.788 | INFO     | request_id - 6af2c014-4fbe-484e-ae43-3c697d248910 | app.service.meta_knowledge_service:build:200 - 为字段信息创建向量索引
2026-03-15 16:19:53.641 | INFO     | request_id - b1349f28-721e-4bf0-a0cf-ab6d2fa2ed10 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 16:19:53.682 | INFO     | request_id - debf2beb-d07d-4c5a-be78-adf93915bea3 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 16:28:21.766 | INFO     | request_id - 957c8968-1bb1-485b-b950-08dd98493668 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 16:28:21.803 | INFO     | request_id - 527e3fa6-eb2a-42b7-b0f9-d99ad55fecfa | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 16:28:39.582 | INFO     | request_id - de8b444f-a357-4a19-b155-d40bc809ba63 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 16:28:39.620 | INFO     | request_id - 6aabf416-951b-4c64-aa61-062466cfff6d | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 16:29:03.933 | INFO     | request_id - a9d6c196-81c7-4b13-a6d0-a05014b3fbcb | app.service.meta_knowledge_service:build:200 - 为字段信息创建向量索引
2026-03-15 16:30:14.136 | INFO     | request_id - 29ff04d3-e22a-4ad7-86eb-2e0aaa8d3f47 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 16:30:14.192 | INFO     | request_id - 244631b9-99fb-4a12-b196-f36bfa937d35 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 16:30:36.662 | INFO     | request_id - 16de8910-2402-4bad-8d66-0c37e2f304b6 | app.service.meta_knowledge_service:build:200 - 为字段信息创建向量索引
2026-03-15 16:36:46.656 | INFO     | request_id - 833e068a-2655-4003-b69d-d8665f4f6b68 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 16:36:46.717 | INFO     | request_id - 87c4505e-2a10-44e0-96c9-a811b316a311 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 16:37:10.462 | INFO     | request_id - 99eb80d6-3b4f-4aa5-a836-2d51f7d6c002 | app.service.meta_knowledge_service:build:200 - 为字段信息创建向量索引
2026-03-15 16:37:11.290 | INFO     | request_id - 6369f96d-094a-4a13-9b98-7b991a60740c | app.service.meta_knowledge_service:build:204 - 为字段值信息创建全文索引
2026-03-15 16:39:02.494 | INFO     | request_id - 927fe531-f234-4f26-897f-90bf7a13beb1 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 16:39:02.536 | INFO     | request_id - 0407b592-0b19-4dae-b4c8-199c00a4a3d7 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 16:39:28.290 | INFO     | request_id - bf929f5d-2a04-4271-a97d-0b702614bb23 | app.service.meta_knowledge_service:build:200 - 为字段信息创建向量索引
2026-03-15 16:39:28.423 | INFO     | request_id - abbf6e28-81ec-4d0d-9700-9e7b44e7d6cf | app.service.meta_knowledge_service:build:204 - 为字段值信息创建全文索引
2026-03-15 17:02:55.907 | INFO     | request_id - 58e987d5-7bea-451e-8c34-e5d1bdb4a2b1 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 17:02:55.993 | INFO     | request_id - 451abd26-16dd-40b6-9f12-59e8e8bdccb0 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 17:03:26.946 | INFO     | request_id - b5ea0eb6-d97b-46c9-88ae-b1ab5e7b5713 | app.service.meta_knowledge_service:build:200 - 为字段信息创建向量索引
2026-03-15 17:03:27.054 | INFO     | request_id - 4c1cf015-39cb-4a0e-a115-32b9f8b37fdb | app.service.meta_knowledge_service:build:204 - 为字段值信息创建全文索引
2026-03-15 17:05:59.844 | INFO     | request_id - 218fb856-a80f-406e-b5dc-c4a16b1f5651 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 17:05:59.880 | INFO     | request_id - 599d8574-6970-4470-95de-bd72cfea0409 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 17:06:22.616 | INFO     | request_id - 156ed4f0-88f9-4185-b0c2-c5b48c294ea2 | app.service.meta_knowledge_service:build:200 - 为字段信息创建向量索引
2026-03-15 17:06:22.691 | INFO     | request_id - e20e638f-2dc9-4b2e-a9a9-ae56b3038c95 | app.service.meta_knowledge_service:build:204 - 为字段值信息创建全文索引
2026-03-15 17:41:32.392 | INFO     | request_id - 556fe0d0-eef4-47cb-a7a4-6487175654a3 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 17:41:32.487 | INFO     | request_id - 784c1a73-d852-4712-a9ed-048665d67a58 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 17:42:00.011 | INFO     | request_id - 1af5ea82-6c90-492e-9ed1-598872380b30 | app.service.meta_knowledge_service:build:200 - 为字段信息创建向量索引
